חברה,יום אקס דיבידנד,דיבידנד,סוג,תאריך תשלום,תשואה,Comfortable Date X
אסאר אקורד (SRAC),10.12.2023,45.74282,,18.12.2023,4.81%,12/10/2023
פיבי (FIBIH),10.12.2023,118.46791,,18.12.2023,7.05%,12/10/2023
תיגבור (TIGBUR),12.12.2023,19.87445,,21.12.2023,3.90%,12/12/2023
גולן פלסטיק (GRIN),13.12.2023,52.58263,,25.12.2023,11.71%,12/13/2023
בית הזהב (GOHO),13.12.2023,128.8944,,20.12.2023,8.02%,12/13/2023
מימון ישיר (DIFI),14.12.2023,759.4584,,24.12.2023,7.45%,12/14/2023
מגדל ביטוח (MGDL),18.12.2023,2.37212,,25.12.2023,1.26%,12/18/2023
פז נפט (PAZ),21.12.2023,704.6399,,02.01.2024,2.16%,12/21/2023
ישראמקו נגב (ISRAp),21.12.2023,1.158,,28.12.2023,-,12/21/2023
הבורסה לניירות ערך בת''א (TASE),24.12.2023,250.0,,02.01.2024,11.18%,12/24/2023
סיאון (CION),24.12.2023,0.15,,31.01.2024,14.80%,12/24/2023
אלביט מערכות (ESLT),26.12.2023,0.5,,08.01.2024,0.91%,12/26/2023
לודן (LUDN),27.12.2023,75.0,,16.01.2024,11.28%,12/27/2023
פולירם תעשיות פלסטיק (POLP),27.12.2023,16.84389,,04.01.2024,5.12%,12/27/2023
סיאון (CION),31.12.2023,0.05,,15.01.2024,15.27%,12/31/2023
יוניטרוניקס (UNIT),04.01.2024,71.89357,,23.01.2024,10.76%,1/4/2024
רם-און השקעות והחזקות (RMN),04.01.2024,27.7977,,17.01.2024,5.86%,1/4/2024
קיסטון ריט (KSTN),08.01.2024,9.83622,,15.01.2024,7.10%,1/8/2024
גבעות יהש (GIVOp),08.01.2024,,,18.01.2024,-,1/8/2024
פיסיבי טכנ (PCBT),09.01.2024,30.13921,,16.01.2024,7.56%,1/9/2024
אלרון (ELRN),22.01.2024,1.8461249,,05.02.2024,98.57%,1/22/2024
Malam Team Holdings (MLTH),29.01.2024,,,--,-,1/29/2024
טורבוג'ן (TURB),29.01.2024,,,08.02.2024,-,1/29/2024
צרפתי (SRFT),29.01.2024,57.4766,,06.02.2024,2.07%,1/29/2024
מאסיבית טכנולוגיות הדפסה (MSVT),01.02.2024,,,12.02.2024,-,2/1/2024
פייטון (PAYT),14.02.2024,0.95,,12.03.2024,7.00%,2/14/2024
פז בית זיקוק (ARF),14.02.2024,4.39175,,22.02.2024,14.89%,2/14/2024
אודיוקודס (AUDC),20.02.2024,0.18,,06.03.2024,2.67%,2/20/2024
דלתא מותגים (DLTI),28.02.2024,129.236,,07.03.2024,4.03%,2/28/2024
עילדב-ש (ELDAV),03.03.2024,6.98711,,11.03.2024,3.30%,3/3/2024
דלתא (DELG),05.03.2024,0.35,,18.03.2024,2.31%,3/5/2024
אורמת טכנולוגיות (ORA),06.03.2024,0.12,,20.03.2024,0.74%,3/6/2024
פנינסולה (PEN),07.03.2024,3.3,,17.03.2024,10.10%,3/7/2024
פיימנט (PMNT),10.03.2024,5.4023,,18.03.2024,3.70%,3/10/2024
אנרג'יאן (ENOG),10.03.2024,0.3,,29.03.2024,8.63%,3/10/2024
כרמל קורפ (CRML),10.03.2024,,,28.03.2024,-,3/10/2024
הבורסה לניירות ערך בת''א (TASE),14.03.2024,45.003,,21.03.2024,1.92%,3/14/2024
איי.סי.אל (ICL),14.03.2024,17.4216,,26.03.2024,5.62%,3/14/2024
פועלים (POLI),18.03.2024,26.32205,,08.04.2024,4.94%,3/18/2024
הייפר גלובל (HIPR),18.03.2024,10.99795,,04.04.2024,2.06%,3/18/2024
מזרחי טפחות (MZTF),19.03.2024,81.10706,,28.03.2024,3.74%,3/19/2024
נקסט ויז'ן (NXSN),19.03.2024,0.1742078,,28.03.2024,1.34%,3/19/2024
אנרג'יקס (ENRG),19.03.2024,30.0,,27.03.2024,3.85%,3/19/2024
אקרשטיין (ACKR),20.03.2024,17.3907,,04.04.2024,3.38%,3/20/2024
מטריקס (MTRX),20.03.2024,127.0,,15.04.2024,3.28%,3/20/2024
פולירם תעשיות פלסטיק (POLP),20.03.2024,9.35772,,31.03.2024,5.29%,3/20/2024
בינלאומי (FIBI),20.03.2024,268.11511,,31.03.2024,5.14%,3/20/2024
מיטב השקעות (MTAV),21.03.2024,57.0,,01.04.2024,-,3/21/2024
בזן (ORL),21.03.2024,0.04592,,01.04.2024,15.60%,3/21/2024
סיאון (CION),24.03.2024,0.34,,28.03.2024,12.90%,3/24/2024
אופל בלאנס (OPAL),25.03.2024,4.95957,,02.04.2024,7.08%,3/25/2024
תדיראן (TDRN),26.03.2024,264.38384,,03.04.2024,1.85%,3/26/2024
אפריקה מגורים (AFRE),26.03.2024,237.2754,,16.04.2024,2.82%,3/26/2024
ברקת קפיטל (BRKT),26.03.2024,12.033,,03.04.2024,7.34%,3/26/2024
דיסקונט (DSCT),26.03.2024,14.85839,,04.04.2024,4.50%,3/26/2024
תפרון (TFRLF),26.03.2024,0.16,,09.04.2024,2.38%,3/26/2024
קרדן נדלן (KARE),27.03.2024,16.2375,,16.04.2024,3.46%,3/27/2024
לאומי (LUMI),27.03.2024,23.97076,,11.04.2024,3.68%,3/27/2024
פרידנזון (FRDN),27.03.2024,122.5632,,04.04.2024,6.98%,3/27/2024
אי.טי.ג'י.איי (ETGA),27.03.2024,15.8044,,04.04.2024,4.53%,3/27/2024
סנו (SANO1),28.03.2024,575.0,,11.04.2024,1.86%,3/28/2024
ניו-מד אנרג יהש (NWMDp),28.03.2024,0.05112,,11.04.2024,6.77%,3/28/2024
ישראכרט (ISCD),28.03.2024,22.91104,,16.04.2024,3.12%,3/28/2024
לכיש (LHIS),28.03.2024,30.0,,15.04.2024,2.41%,3/28/2024
מנדלסון תשתיות ותעשיות (MNIN),31.03.2024,32.81162,,07.04.2024,3.88%,3/31/2024
"תעשיות מספנות ישראל בע""מ (ISHI)",31.03.2024,120.0,,07.04.2024,1.72%,3/31/2024
רפק (RPAC),31.03.2024,300.0,,16.04.2024,10.03%,3/31/2024
וואן טכנולוגיות (ONE),31.03.2024,45.44201,,14.04.2024,3.07%,3/31/2024
בוליגו (BLGO),01.04.2024,0.04488,,08.04.2024,2.20%,4/1/2024
ירושלים (JBNK),01.04.2024,17.69767,,08.04.2024,3.46%,4/1/2024
נאוי (NAWI),01.04.2024,103.87894,,08.04.2024,7.84%,4/1/2024
פיבי (FIBIH),01.04.2024,363.86571,,09.04.2024,6.43%,4/1/2024
שנפ (SHNP),01.04.2024,39.3859,,08.04.2024,6.22%,4/1/2024
The Gold Bond (GOLD),01.04.2024,80.0,,11.04.2024,1.24%,4/1/2024
תורפז (TRPZ),01.04.2024,14.59163,,09.04.2024,0.95%,4/1/2024
איידיאיי ביטוח (IDIN),02.04.2024,442.62525,,10.04.2024,6.60%,4/2/2024
"מקס סטוק בע""מ (MAXO)",02.04.2024,43.04408,,16.04.2024,5.08%,4/2/2024
שטראוס (STRS),02.04.2024,231.63324,,11.04.2024,3.34%,4/2/2024
אי.בי.אי. (IBI),02.04.2024,78.82381,,09.04.2024,5.90%,4/2/2024
זנלכל (ZNKL),02.04.2024,56.20225,,30.04.2024,6.13%,4/2/2024
נובולוג (NVLG),02.04.2024,2.93704,,09.04.2024,1.90%,4/2/2024
עמיעד (AMD),02.04.2024,0.0984,,09.04.2024,3.40%,4/2/2024
אלטשולר שחם פיננסים (ALTF),03.04.2024,11.63771,,11.04.2024,10.02%,4/3/2024
יוחננוף (YHNF),03.04.2024,621.0,,16.04.2024,3.36%,4/3/2024
אמיליה פיתוח (EMDV),03.04.2024,56.79834,,11.04.2024,2.37%,4/3/2024
פז נפט (PAZ),03.04.2024,703.02981,,18.04.2024,3.70%,4/3/2024
הפניקס (PHOE),03.04.2024,104.53256,,11.04.2024,3.87%,4/3/2024
ויליפוד אינטרנש (WILC),03.04.2024,72.0,,17.04.2024,3.86%,4/3/2024
אלקו (ELCO),04.04.2024,111.4769,,15.04.2024,1.52%,4/4/2024
טיב טעם (TTAM),04.04.2024,1.96004,,15.04.2024,2.12%,4/4/2024
שופרסל (SAE),04.04.2024,67.74834,,01.05.2024,2.69%,4/4/2024
ארית תעשיות (ARYT),04.04.2024,11.8,,15.04.2024,2.94%,4/4/2024
חילן (HLAN),04.04.2024,150.0,,16.04.2024,1.22%,4/4/2024
א.נ שוהם ביזנס (SHOM),04.04.2024,21.58955,,14.04.2024,3.90%,4/4/2024
רמי לוי (RMLI),04.04.2024,362.96104,,11.04.2024,7.05%,4/4/2024
פורמולה מערכות (FORTY),04.04.2024,230.0,,18.04.2024,0.77%,4/4/2024
אראסאל (RSEL),04.04.2024,24.69702,,18.04.2024,3.51%,4/4/2024
עמיר שיווק (AMRK),04.04.2024,100.0,,02.05.2024,4.05%,4/4/2024
תמר פטרוליום (TMRP),04.04.2024,0.1356,,18.04.2024,4.07%,4/4/2024
קרסו מוטורס (CRSM),04.04.2024,67.12925,,11.04.2024,9.81%,4/4/2024
אייקון גרופ (ICON),04.04.2024,29.91408,,11.04.2024,5.67%,4/4/2024
דיפלומט (DIPL),04.04.2024,145.78792,,14.04.2024,8.45%,4/4/2024
א.מ.ת (EMCO),04.04.2024,13.5,,17.04.2024,2.88%,4/4/2024
קמטק (CAMT),04.04.2024,1.33,,18.04.2024,1.59%,4/4/2024
Effi Capital Nadlan (EFCP),04.04.2024,10.85493,,15.04.2024,0.90%,4/4/2024
רציו אנרגיות (RATIp),04.04.2024,0.02669,,16.04.2024,6.61%,4/4/2024
אילקס מדיקל (ILX),07.04.2024,136.45,,15.04.2024,2.01%,4/7/2024
רימוני (RIMO),07.04.2024,96.0,,07.05.2024,5.52%,4/7/2024
גניגר (GNGR),07.04.2024,98.81574,,18.04.2024,9.76%,4/7/2024
ג'י וואן (GOSS),07.04.2024,6.44254,,15.04.2024,6.27%,4/7/2024
אטראו שוקי הון (ATRY),07.04.2024,112.06559,,18.04.2024,7.50%,4/7/2024
צור (ZUR),07.04.2024,21.50542,,21.04.2024,6.03%,4/7/2024
ראלקו (RLCO),07.04.2024,489.84226,,15.04.2024,18.77%,4/7/2024
סיאי (CISY),07.04.2024,20.0,,14.04.2024,1.14%,4/7/2024
כפרית (KAFR),07.04.2024,18.82314,,25.04.2024,3.80%,4/7/2024
הולמס פלייס (HLMS),07.04.2024,21.84668,,02.05.2024,14.57%,4/7/2024
סאפיינס (SPNS),07.04.2024,0.28,,18.04.2024,1.71%,4/7/2024
לודן (LUDN),07.04.2024,60.0,,14.04.2024,7.35%,4/7/2024
שירותי בנקאות אוטומטיים (SHVA),07.04.2024,62.5,,16.04.2024,4.55%,4/7/2024
פרקומט (PRKM),08.04.2024,15.38358,,16.04.2024,1.66%,4/8/2024
המשביר 365 (MSBI),08.04.2024,2.57363,,17.04.2024,7.80%,4/8/2024
אנליסט (ANLT),08.04.2024,100.0,,30.04.2024,2.56%,4/8/2024
קווליטאו (QLTU),08.04.2024,338.33591,,16.04.2024,4.58%,4/8/2024
קנון הולדינגס (KEN),08.04.2024,3.8,,15.04.2024,14.72%,4/8/2024
דמרי (DIMRI),08.04.2024,365.0379,,18.04.2024,1.71%,4/8/2024
מנורה מב החז (MMHD),08.04.2024,282.48892,,16.04.2024,4.23%,4/8/2024
ספרינג ונצרס (SPRG),08.04.2024,500.0,,07.05.2024,40.98%,4/8/2024
טי.ג'י.איי (TGI),08.04.2024,6.78579,,15.04.2024,3.18%,4/8/2024
הראל השקעות (HARL),08.04.2024,168.9919,,16.04.2024,4.54%,4/8/2024
חברה לישראל (ILCO),09.04.2024,1831.7845,,17.04.2024,1.84%,4/9/2024
דלק קבוצה (DLEKG),09.04.2024,1346.71,,21.04.2024,10.33%,4/9/2024
ברנד (BRND),09.04.2024,5.75029,,24.04.2024,3.58%,4/9/2024
מיחשוב ישר (CMDR),09.04.2024,780.0,,21.04.2024,5.61%,4/9/2024
דניה סיבוס (DNYA),09.04.2024,127.65359,,08.05.2024,5.79%,4/9/2024
ריטיילורס (RTLS),10.04.2024,126.24889,,25.04.2024,3.04%,4/10/2024
קיסטון ריט (KSTN),10.04.2024,9.8902,,17.04.2024,6.83%,4/10/2024
אינרום תעשיות בנייה (INRM),10.04.2024,4.63095,,18.04.2024,1.40%,4/10/2024
ויקטורי (VCTR),11.04.2024,104.44329,,21.04.2024,4.40%,4/11/2024
פלרם (PLRM),11.04.2024,233.23174,,18.04.2024,4.53%,4/11/2024
לפידות (LAPD),11.04.2024,16.16401,,18.04.2024,1.36%,4/11/2024
תיגבור (TIGBUR),14.04.2024,29.81167,,21.04.2024,3.38%,4/14/2024
מבטח שמיר (MISH),14.04.2024,200.0,,02.05.2024,1.52%,4/14/2024
גן שמואל (GSFI),14.04.2024,189.36582,,21.04.2024,7.30%,4/14/2024
פוקס-ויזל (FOX),14.04.2024,362.0822,,30.04.2024,2.09%,4/14/2024
שניב (SHAN),14.04.2024,6.34347,,21.04.2024,2.78%,4/14/2024
אלקטרה (ELTR),15.04.2024,1041.8275,,02.05.2024,1.55%,4/15/2024
טופ מערכות-ס (TOPS),15.04.2024,28.31842,,05.05.2024,3.22%,4/15/2024
אאורה השקעות (AURA),16.04.2024,7.16343,,30.04.2024,0.76%,4/16/2024
טלסיס (TLSY),16.04.2024,441.97445,,01.05.2024,12.15%,4/16/2024
מגדלי הים התיכון (MDTR),17.04.2024,53.15936,,01.05.2024,5.97%,4/17/2024
אלמור חשמל התקנות ושירותים (ELMR),17.04.2024,24.0,,05.05.2024,4.83%,4/17/2024
פמס (FBRT),17.04.2024,1.63133,,08.05.2024,3.76%,4/17/2024
תומר אנרגיה (TOEN),18.04.2024,0.24999,,01.05.2024,5.92%,4/18/2024
רבל (RVL),18.04.2024,24.38026,,16.05.2024,9.25%,4/18/2024
יצוא (EXPO),24.04.2024,30.99934,,08.05.2024,0.70%,4/24/2024
אלביט מערכות (ESLT),24.04.2024,0.5,,06.05.2024,0.97%,4/24/2024
רותם שני (RTSN),25.04.2024,99.26987,,06.05.2024,5.38%,4/25/2024
בזק (BEZQ),01.05.2024,13.51691,,09.05.2024,5.96%,5/1/2024
או.אר.טי (ORTC),01.05.2024,50.0,,21.05.2024,3.46%,5/1/2024
אמנת (AMAN),09.05.2024,91.907,,23.05.2024,7.88%,5/9/2024
Waterio (WATR),09.05.2024,,,22.05.2024,-,5/9/2024
מניף שירותים פיננסיים (MNIF),16.05.2024,13.22889,,23.05.2024,2.45%,5/16/2024
יוניטרוניקס (UNIT),21.05.2024,114.94338,,16.06.2024,11.56%,5/21/2024
אורמת טכנולוגיות (ORA),22.05.2024,0.12,,05.06.2024,0.67%,5/22/2024
איביאי חיתום (IBIU),22.05.2024,20.8962,,05.06.2024,-,5/22/2024
הייפר גלובל (HIPR),23.05.2024,11.99699,,10.06.2024,2.30%,5/23/2024
צרפתי (SRFT),23.05.2024,105.6593,,02.06.2024,5.31%,5/23/2024
דלתא מותגים (DLTI),27.05.2024,66.324,,04.06.2024,4.00%,5/27/2024
אופל בלאנס (OPAL),27.05.2024,2.86791,,05.06.2024,7.48%,5/27/2024
מ.ל.ר.ן פרוייקטים ומסחר (MLRN),28.05.2024,6.02926,,03.06.2024,1.06%,5/28/2024
פועלים (POLI),29.05.2024,57.93603,,10.06.2024,4.86%,5/29/2024
דיסקונט (DSCT),29.05.2024,25.4646,,09.06.2024,4.15%,5/29/2024
עשות (ASHO),29.05.2024,33.938,,06.06.2024,2.16%,5/29/2024
מיטב טרייד (MTRD),30.05.2024,40.0,,06.06.2024,4.70%,5/30/2024
דלתא (DELG),30.05.2024,0.31,,10.06.2024,2.79%,5/30/2024
מזרחי טפחות (MZTF),30.05.2024,196.99105,,06.06.2024,3.87%,5/30/2024
שנפ (SHNP),30.05.2024,23.63154,,06.06.2024,7.08%,5/30/2024
דניה סיבוס (DNYA),30.05.2024,127.65323,,24.06.2024,6.71%,5/30/2024
אורון אחזקות והשקעות (ORON),30.05.2024,23.03258,,13.06.2024,2.97%,5/30/2024
פולירם תעשיות פלסטיק (POLP),30.05.2024,9.35772,,10.06.2024,4.83%,5/30/2024
מור גמל (MPP),02.06.2024,15.61423,,10.06.2024,3.20%,6/2/2024
ארד (ARD),02.06.2024,0.485,,18.06.2024,3.66%,6/2/2024
גלוברנדס (GLRS),02.06.2024,2196.908,,10.06.2024,16.78%,6/2/2024
פנינסולה (PEN),02.06.2024,2.8,,10.06.2024,8.75%,6/2/2024
נאוי (NAWI),02.06.2024,58.05,,09.06.2024,10.44%,6/2/2024
אלטשולר שחם פיננסים (ALTF),02.06.2024,10.62185,,10.06.2024,10.13%,6/2/2024
וואן טכנולוגיות (ONE),02.06.2024,48.51512,,13.06.2024,3.45%,6/2/2024
סיאון (CION),03.06.2024,0.36,,17.06.2024,15.76%,6/3/2024
מיטב השקעות (MTAV),03.06.2024,19.0,,13.06.2024,5.71%,6/3/2024
ניו-מד אנרג יהש (NWMDp),03.06.2024,0.05112,,20.06.2024,7.47%,6/3/2024
אי.בי.אי. (IBI),03.06.2024,197.05199,,10.06.2024,5.02%,6/3/2024
מימון ישיר (DIFI),04.06.2024,847.28853,,13.06.2024,4.28%,6/4/2024
א.מ.ת (EMCO),04.06.2024,8.0,,20.06.2024,2.82%,6/4/2024
אנרג'יקס (ENRG),04.06.2024,10.0,,18.06.2024,3.50%,6/4/2024
רימון (RMON),04.06.2024,91.34211,,03.07.2024,3.02%,6/4/2024
מיטרוניקס (MTRN),04.06.2024,22.78075,,27.06.2024,3.86%,6/4/2024
אפריקה מגורים (AFRE),04.06.2024,118.6377,,18.06.2024,3.23%,6/4/2024
דנאל (DANE),04.06.2024,217.2,,25.06.2024,0.62%,6/4/2024
דלק קבוצה (DLEKG),05.06.2024,1183.5,,18.06.2024,12.10%,6/5/2024
בינלאומי (FIBI),05.06.2024,227.24998,,17.06.2024,5.24%,6/5/2024
טי.ג'י.איי (TGI),05.06.2024,4.7278,,20.06.2024,6.59%,6/5/2024
איידיאיי ביטוח (IDIN),05.06.2024,204.28858,,13.06.2024,8.50%,6/5/2024
אי.טי.ג'י.איי (ETGA),05.06.2024,20.31994,,17.06.2024,4.50%,6/5/2024
כנפיים (KNFM),06.06.2024,79.0,,18.06.2024,13.35%,6/6/2024
פרשקובסקי (PRSK),06.06.2024,25.0,,18.06.2024,0.65%,6/6/2024
צור (ZUR),06.06.2024,16.89712,,25.06.2024,8.95%,6/6/2024
אטראו שוקי הון (ATRY),06.06.2024,115.46152,,19.06.2024,7.82%,6/6/2024
טיב טעם (TTAM),06.06.2024,2.93372,,18.06.2024,2.00%,6/6/2024
רם-און השקעות והחזקות (RMN),06.06.2024,15.85098,,20.06.2024,5.15%,6/6/2024
יוחננוף (YHNF),06.06.2024,104.0,,18.06.2024,3.91%,6/6/2024
כפרית (KAFR),06.06.2024,18.79485,,26.06.2024,3.79%,6/6/2024
המשביר 365 (MSBI),06.06.2024,3.14555,,16.06.2024,5.68%,6/6/2024
איי.סי.אל (ICL),06.06.2024,16.96497,,20.06.2024,4.55%,6/6/2024
סאני תקשורת (SNCM),09.06.2024,4.60335,,17.06.2024,29.51%,6/9/2024
פיבי (FIBIH),09.06.2024,310.27308,,19.06.2024,7.17%,6/9/2024
אנרג'יאן (ENOG),09.06.2024,0.3,,28.06.2024,8.80%,6/9/2024
רוטשטיין (ROTS),09.06.2024,62.38223,,19.06.2024,4.23%,6/9/2024
רמי לוי (RMLI),09.06.2024,508.14546,,19.06.2024,8.09%,6/9/2024
א.נ שוהם ביזנס (SHOM),09.06.2024,10.879,,19.06.2024,6.59%,6/9/2024
מיחשוב ישר (CMDR),09.06.2024,330.0,,24.06.2024,6.93%,6/9/2024
רימוני (RIMO),09.06.2024,120.0,,04.07.2024,7.24%,6/9/2024
Effi Capital Nadlan (EFCP),09.06.2024,21.70987,,19.06.2024,2.82%,6/9/2024
אימקו (IMCO),09.06.2024,89.8293,,30.06.2024,3.14%,6/9/2024
כהן פיתוח (CDEV),09.06.2024,1.67084,,20.06.2024,10.63%,6/9/2024
אינרום תעשיות בנייה (INRM),09.06.2024,4.0304,,19.06.2024,1.43%,6/9/2024
אביב בניה (AVIV),09.06.2024,52.83629,,23.06.2024,4.24%,6/9/2024
פרידנזון (FRDN),09.06.2024,61.2816,,20.06.2024,7.19%,6/9/2024
לאומי (LUMI),10.06.2024,54.91043,,20.06.2024,4.86%,6/10/2024
ישראמקו נגב (ISRAp),10.06.2024,0.02701,,20.06.2024,-,6/10/2024
לפידות (LAPD),13.06.2024,32.32802,,27.06.2024,1.77%,6/13/2024
הולמס פלייס (HLMS),13.06.2024,14.19522,,02.07.2024,9.22%,6/13/2024
תיגבור (TIGBUR),13.06.2024,47.2018,,23.06.2024,3.12%,6/13/2024
י.ד. מור השקעות (MRIN),13.06.2024,28.0494,,23.06.2024,8.25%,6/13/2024
טלסיס (TLSY),16.06.2024,220.98722,,01.07.2024,14.05%,6/16/2024
מצלאוי (MSLA),16.06.2024,48.756,,23.06.2024,3.93%,6/16/2024
פז נפט (PAZ),16.06.2024,1640.0509,,01.07.2024,8.54%,6/16/2024
אלביט מערכות (ESLT),18.06.2024,0.5,,01.07.2024,1.08%,6/18/2024
מגדל ביטוח (MGDL),18.06.2024,2.37212,,24.06.2024,1.12%,6/18/2024
תיא השקעות-ס (TAYA),18.06.2024,80.0,,27.06.2024,1.41%,6/18/2024
ספאנטק (SPNTC),20.06.2024,35.0,,09.07.2024,13.30%,6/20/2024
מטריקס (MTRX),27.06.2024,81.0,,25.07.2024,4.03%,6/27/2024
מג'יק (MGIC),27.06.2024,0.204,,11.07.2024,5.35%,6/27/2024
אסאר אקורד (SRAC),27.06.2024,45.74282,,15.07.2024,3.07%,6/27/2024
סיאון (CION),30.06.2024,0.05,,12.07.2024,18.39%,6/30/2024
קיסטון ריט (KSTN),11.07.2024,10.95941,,18.07.2024,7.83%,7/11/2024
שניב (SHAN),15.07.2024,3.96467,,22.07.2024,3.71%,7/15/2024
מיחשוב ישר (CMDR),22.07.2024,2330.0,,06.08.2024,14.79%,7/22/2024
מנרה יהש (MNRAp),01.08.2024,257.87217,,22.08.2024,45.68%,8/1/2024
אודיוקודס (AUDC),15.08.2024,0.18,,29.08.2024,3.39%,8/15/2024
סינאל (SNEL),19.08.2024,88.34771,,28.08.2024,5.77%,8/19/2024
מיטב טרייד (MTRD),19.08.2024,21.0,,26.08.2024,7.31%,8/19/2024
איביאי חיתום (IBIU),20.08.2024,9.64438,,28.08.2024,6.33%,8/20/2024
אורמת טכנולוגיות (ORA),20.08.2024,0.12,,03.09.2024,0.65%,8/20/2024
אנרג'יקס (ENRG),20.08.2024,10.0,,03.09.2024,4.38%,8/20/2024
פיסיבי טכנ (PCBT),20.08.2024,20.93001,,27.08.2024,10.67%,8/20/2024
פנינסולה (PEN),21.08.2024,3.0,,29.08.2024,8.32%,8/21/2024
דלתא מותגים (DLTI),21.08.2024,800.0,,01.09.2024,14.81%,8/21/2024
נאוי (NAWI),22.08.2024,65.40905,,29.08.2024,8.06%,8/22/2024
מ.ל.ר.ן פרוייקטים ומסחר (MLRN),22.08.2024,5.69431,,01.09.2024,2.07%,8/22/2024
מזרחי טפחות (MZTF),22.08.2024,224.82672,,29.08.2024,4.17%,8/22/2024
תדיראן (TDRN),22.08.2024,57.06964,,01.09.2024,1.62%,8/22/2024
הייפר גלובל (HIPR),25.08.2024,7.0,,10.09.2024,2.81%,8/25/2024
ישראכרט (ISCD),25.08.2024,26.33921,,15.09.2024,3.79%,8/25/2024
עילדב-ש (ELDAV),25.08.2024,2.79484,,01.09.2024,4.16%,8/25/2024
יוניטרוניקס (UNIT),25.08.2024,57.37319,,19.09.2024,8.03%,8/25/2024
ניו-מד אנרג יהש (NWMDp),25.08.2024,0.05538,,05.09.2024,8.08%,8/25/2024
בינלאומי (FIBI),25.08.2024,243.19735,,02.09.2024,5.52%,8/25/2024
ג'י וואן (GOSS),25.08.2024,5.87326,,02.09.2024,4.78%,8/25/2024
מור גמל (MPP),25.08.2024,5.46498,,02.09.2024,4.39%,8/25/2024
פועלים (POLI),26.08.2024,48.3015,,09.09.2024,4.29%,8/26/2024
דיסקונט (DSCT),26.08.2024,25.34334,,08.09.2024,3.70%,8/26/2024
שרין טכנו (SARN),26.08.2024,0.00781,,12.09.2024,3.33%,8/26/2024
מניף שירותים פיננסיים (MNIF),26.08.2024,20.67014,,04.09.2024,2.92%,8/26/2024
לאומי (LUMI),26.08.2024,44.98721,,05.09.2024,4.16%,8/26/2024
דלתא (DELG),27.08.2024,0.31,,04.09.2024,2.79%,8/27/2024
א.נ שוהם ביזנס (SHOM),27.08.2024,10.82643,,10.09.2024,8.24%,8/27/2024
פרשקובסקי (PRSK),27.08.2024,50.0,,04.09.2024,0.91%,8/27/2024
אפריקה מגורים (AFRE),27.08.2024,142.36524,,10.09.2024,2.79%,8/27/2024
דניה סיבוס (DNYA),27.08.2024,127.48124,,23.09.2024,6.03%,8/27/2024
מיטב השקעות (MTAV),27.08.2024,25.0,,04.09.2024,6.33%,8/27/2024
פולירם תעשיות פלסטיק (POLP),27.08.2024,9.35772,,05.09.2024,4.94%,8/27/2024
לכיש (LHIS),27.08.2024,34.0,,10.09.2024,2.96%,8/27/2024
אי.בי.אי. (IBI),27.08.2024,236.336,,03.09.2024,5.18%,8/27/2024
דנאל (DANE),27.08.2024,292.5,,17.09.2024,1.55%,8/27/2024
ירושלים (JBNK),28.08.2024,36.7992,,05.09.2024,4.26%,8/28/2024
יוחננוף (YHNF),28.08.2024,138.0,,09.09.2024,3.96%,8/28/2024
אי.טי.ג'י.איי (ETGA),28.08.2024,22.57771,,05.09.2024,4.64%,8/28/2024
סאפיינס (SPNS),28.08.2024,0.29,,12.09.2024,1.59%,8/28/2024
וואן טכנולוגיות (ONE),29.08.2024,48.9328,,12.09.2024,3.78%,8/29/2024
טיב טעם (TTAM),29.08.2024,5.99731,,22.09.2024,2.12%,8/29/2024
אופל בלאנס (OPAL),29.08.2024,3.44149,,08.09.2024,7.56%,8/29/2024
רמי לוי (RMLI),29.08.2024,435.55325,,05.09.2024,7.33%,8/29/2024
בכורי שדה (BKRY),29.08.2024,4.67467,,10.09.2024,1.53%,8/29/2024
קרסו מוטורס (CRSM),29.08.2024,111.76493,,10.09.2024,8.81%,8/29/2024
דמרי (DIMRI),29.08.2024,448.33405,,16.09.2024,2.44%,8/29/2024
דלק קבוצה (DLEKG),01.09.2024,1183.5,,18.09.2024,11.62%,9/1/2024
רציו אנרגיות (RATIp),01.09.2024,0.02669,,24.09.2024,6.51%,9/1/2024
פיבי (FIBIH),01.09.2024,330.01774,,09.09.2024,7.15%,9/1/2024
שנפ (SHNP),01.09.2024,7.87718,,05.09.2024,6.51%,9/1/2024
קרור (KRUR),02.09.2024,63.60547,,09.09.2024,5.78%,9/2/2024
אלטשולר שחם פיננסים (ALTF),02.09.2024,10.61636,,10.09.2024,9.09%,9/2/2024
י.ד. מור השקעות (MRIN),02.09.2024,14.02323,,01.10.2024,5.04%,9/2/2024
תמר פטרוליום (TMRP),02.09.2024,0.1356,,16.09.2024,5.02%,9/2/2024
טי.ג'י.איי (TGI),03.09.2024,4.72781,,19.09.2024,8.20%,9/3/2024
סיאון (CION),03.09.2024,0.36,,17.09.2024,15.76%,9/3/2024
אינרום תעשיות בנייה (INRM),03.09.2024,3.28045,,18.09.2024,1.06%,9/3/2024
נובולוג (NVLG),03.09.2024,2.93687,,12.09.2024,3.56%,9/3/2024
אלקטרה (ELTR),03.09.2024,1120.2342,,01.10.2024,1.45%,9/3/2024
איידיאיי ביטוח (IDIN),03.09.2024,374.41062,,10.09.2024,8.20%,9/3/2024
אלקטרה פאוור (ELCP),03.09.2024,55.89128,,10.09.2024,2.64%,9/3/2024
