חברה,יום אקס דיבידנד,דיבידנד,סוג,תאריך תשלום,תשואה,Comfortable Date X
רם-און השקעות והחזקות (RMN),01.09.2022,14.99337,,20.09.2022,1.90%,9/1/2022
הפניקס (PHOE),04.09.2022,63.631,,12.09.2022,7.85%,9/4/2022
פיבי (FIBIH),04.09.2022,229.88415,,12.09.2022,7.90%,9/4/2022
דנאל (DANE),04.09.2022,500.0,,21.09.2022,5.02%,9/4/2022
ברנד (BRND),05.09.2022,3.919,,19.09.2022,2.22%,9/5/2022
רימוני (RIMO),05.09.2022,115.0,,20.09.2022,6.71%,9/5/2022
אינרום תעשיות בנייה (INRM),05.09.2022,6.083,,21.09.2022,1.78%,9/5/2022
טיב טעם (TTAM),05.09.2022,5.59809,,15.09.2022,2.21%,9/5/2022
זנלכל (ZNKL),05.09.2022,105.37921,,28.09.2022,9.82%,9/5/2022
אוריין (ORIN),05.09.2022,29.7,,12.09.2022,0.83%,9/5/2022
ישרוטל -ס (ISRO),05.09.2022,84.353,,12.09.2022,0.84%,9/5/2022
מ.ל.ר.ן פרוייקטים ומסחר (MLRN),05.09.2022,15.16331,,14.09.2022,-,9/5/2022
קליל (KLIL),06.09.2022,263.06409,,14.09.2022,2.19%,9/6/2022
חילן (HLAN),06.09.2022,100.0,,14.09.2022,0.51%,9/6/2022
קבוצת אשטרום בעמ (ASHG),06.09.2022,118.54817,,14.09.2022,4.97%,9/6/2022
תיגבור (TIGBUR),07.09.2022,34.08581,,22.09.2022,2.98%,9/7/2022
אלטשולר שחם פיננסים (ALTF),07.09.2022,20.28763,,14.09.2022,12.76%,9/7/2022
פרימוטק (PRMG),07.09.2022,68.71749,,29.09.2022,4.40%,9/7/2022
עמיעד (AMD),07.09.2022,0.06573,,03.10.2022,4.41%,9/7/2022
מיחשוב ישר (CMDR),07.09.2022,285.0,,20.09.2022,11.27%,9/7/2022
אטראו שוקי הון (ATRY),08.09.2022,108.66967,,21.09.2022,11.81%,9/8/2022
פלסאון תעשיות (PLSN),08.09.2022,200.0,,15.09.2022,2.75%,9/8/2022
א.מ.ת (EMCO),08.09.2022,6.0,,20.09.2022,5.05%,9/8/2022
פרידנזון (FRDN),08.09.2022,91.9224,,19.09.2022,9.04%,9/8/2022
רציו אנרגיות (RATIp),08.09.2022,0.02224,,21.09.2022,-,9/8/2022
קווליטאו (QLTU),08.09.2022,153.59962,,15.09.2022,6.04%,9/8/2022
לודן (LUDN),08.09.2022,50.0,,20.09.2022,3.00%,9/8/2022
אלמור חשמל התקנות ושירותים (ELMR),11.09.2022,23.0,,03.10.2022,4.43%,9/11/2022
יוניטרוניקס (UNIT),12.09.2022,108.6762,,22.09.2022,9.44%,9/12/2022
כפרית (KAFR),12.09.2022,16.77378,,29.09.2022,2.50%,9/12/2022
פוקס-ויזל (FOX),13.09.2022,534.94364,,28.09.2022,3.64%,9/13/2022
ויליפוד אינטרנש (WILC),13.09.2022,144.0,,21.09.2022,4.83%,9/13/2022
דלק רכב (DLEA),14.09.2022,235.0,,03.10.2022,18.20%,9/14/2022
בירמן (BIRM),15.09.2022,109.09308,,22.09.2022,15.57%,9/15/2022
טלסיס (TLSY),18.09.2022,346.74358,,03.10.2022,5.25%,9/18/2022
אלקטרה (ELTR),18.09.2022,1095.1023,,02.10.2022,1.07%,9/18/2022
אנרג'יאן (ENOG),18.09.2022,0.3,,30.09.2022,1.82%,9/18/2022
אלקטרה צריכה (ECP),19.09.2022,138.171,,02.10.2022,1.95%,9/19/2022
בזק (BEZQ),21.09.2022,10.63081,,03.10.2022,3.17%,9/21/2022
חברה לישראל (ILCO),28.09.2022,3630.7688,,19.10.2022,2.43%,9/28/2022
אברבוך (AVER),29.09.2022,95.00306,,12.10.2022,5.87%,9/29/2022
אלביט מערכות (ESLT),06.10.2022,0.5,,24.10.2022,1.02%,10/6/2022
תדאה (TEDE),20.10.2022,180.118,,30.10.2022,10.01%,10/20/2022
תמר פטרוליום (TMRP),26.10.2022,0.0678,,07.11.2022,6.26%,10/26/2022
ישראייר גרופ (ISRG),02.11.2022,,,13.11.2022,-,11/2/2022
סינאל (SNEL),06.11.2022,,,07.11.2022,-,11/6/2022
איביאי חיתום (IBIU),10.11.2022,14.2773,,22.11.2022,12.56%,11/10/2022
טכנופלס (TNPV),10.11.2022,213.10747,,17.11.2022,15.14%,11/10/2022
שור-טק יהש (STEC),13.11.2022,,,23.11.2022,-,11/13/2022
בוליגו (BLGO),14.11.2022,7.237,,22.11.2022,0.70%,11/14/2022
